Month,NewMonth,Total,Drywhite,Red,Sparkling
1994-05,1994-05-01,23779,3210,2204,1674
1994-06,1994-06-01,27549,3517,2660,1693
1994-07,1994-07-01,29660,3905,3670,2031
1994-08,1994-08-01,23356,3670,2665,1495
1994-09,1994-09-01,,4221,2639,2968
1994-10,1994-10-01,,4404,2226,3385
1994-11,1994-11-01,,5086,2586,3729
1994-12,1994-12-01,,5725,2684,5999
1995-01,1995-01-01,,2367,1185,1070
1995-02,1995-02-01,,3819,1749,1402
1995-03,1995-03-01,,4067,2459,1897
1995-04,1995-04-01,,4022,2618,1862
1995-05,1995-05-01,,3937,2585,1670
1995-06,1995-06-01,,4365,3310,1688
1995-07,1995-07-01,,4290,3923,2031
