Respondent_ID,Q1_What_do_you_like_most_about_this_portable_music_player,Q2_What_do_you_like_least_about_this_portable_music_player,REF1_Product,REF2_Age,REF3_Gender,REF4_Music,REF5_Activity
29,Always having a good collection of music at hand,Battery life is limited,Product A,25-34,Male,Rock,Traveling
30,It's portable and the device is well-designed.,You have to shut down the device by holding down the pause button. This isn't intuitive and doesn't work as smoothly as I would like. I'd prefer an old-fashioned on and off button.,Product A,25-34,Female,Rock,Traveling
31,Its portability enables me to listen to my music while I am milking cows and working in the fields.,I think that it could be lighter and less expensive. And longer battery life.,Product B,>54,Female,Country,Traveling
32,it allows me to control all of my music.,It's old.,Other,35-44,Female,Other,Relaxing
33,It is better than having a lot of CDs in the car. I can hook this up to my stereo and get lots of tunes.,Nothing.,Product A,45-54,Male,Rock,Traveling
34,The ability to build a playlist is the best feature. There are times I like to mix and match my selections.,Transfering the music between devices can be time consuming.,Other,45-54,Male,Rock,Traveling
35,"small, easy to sync",scratches easily,Product A,25-34,Female,Folk,Traveling
36,It has great sound quality. It also has capacity for all my music.,The cost is the worst part. It makes it difficult to upgrade.,Product A,45-54,Male,Jazz,Traveling
37,holds lots of music,needs a longer battery life,Product A,18-24,Male,Rock,Relaxing
38,batteries last a long time,The buttons are small.,Product E,35-44,Female,Folk,Traveling
39,Easy to download music and runs a long time without recharging.,Proprietary music format.,Product A,45-54,Male,Rock,Traveling
40,tunes everywhere,"nothing, it's awesome",Product A,<18,Female,Rock,Studying
41,It's easy to use.,It's really easy to turn it on by accident and run the battery down.,Product A,25-34,Female,Jazz,Working
42,The interface is incredibly easy to use.,"Compared to newer devices, the number of songs it can hold is quite small.",Product A,25-34,Male,Classical,Working
43,it holds many songs,uploading songs is too slow.,Product A,>54,Male,Classical,Relaxing
44,"It's not that great, really. What I like most about it is that it's NOT Product A!","Well, at first it worked great, cycled thru all CDs, etc. But a few weeks later it only played the current CD and then stopped. Now, for no apparent reason, it repeats the current CD over and over. And yes, I have read the manual!",Product E,35-44,Male,Rap,Traveling
45,Everything!  Product A rules!  I can't wait to get a video one!,Nothing!  It is better than anything else out there!,Product A,18-24,Male,R&B,Traveling
46,"Ability to carry large amounts of music in a small, lightweight device.",Cost,Product A,25-34,Female,Classical,Traveling
47,"I was worried I was too old for this new fang-dangled technology. But my nephew showed me around the farm, as it were, and it's not as hard to use as I thought it would be.","It's so light, light as a feather, that I once accidently left it in my trousers and they both went into the wash!",Product A,45-54,Male,Blues,Traveling
48,ease of use,could be smaller like Product A,Product A,25-34,Male,Country,Relaxing
49,"It has some DJ features like building track list, cross fading, etc. It's very durable also. A friend dropped it once and it still works perfectly.","It was a bit expensive, but I think it was worth it.",Other,25-34,Male,Other,Traveling
50,portability,battery life,Product A,25-34,Female,Rock,Relaxing
51,taking all my music everywhere,loosing all my music if it breaks,Product D,35-44,Male,Jazz,Relaxing
52,i have a Product A. i like the small size and good sound.,lack of a screen.,Product A,35-44,Male,Jazz,Traveling
53,Convenience,Nothing,Product A,35-44,Male,Folk,Traveling
54,"The ability to take my CD collection and have it in one simple, small, portable device.",It was slightly confusing to set-up,Product A,18-24,Female,Rock,Traveling
55,I can store a lot of music on it.,It was rather expensive.,Product A,25-34,Female,Rock,Traveling
56,"Small, light-weight, and easy to bring along.",Limited space for songs. Not expandable.,Product A,25-34,Female,Rock,Traveling
57,"Drowns out train noise. Light and easy to carry and use, I don't have the patience to download music.",A little bulky and I have to remember to change my cds before I get sick of the music.,Other,35-44,Female,Country,Traveling
58,I can listen to the radio on it,Sometimes the reception isn't that great,Product D,25-34,Female,Folk,Traveling
59,It allows me the freedom to listen to my favorite music or programs on my terms. Makes my commute enjoyable.,It has no radio.,Product A,25-34,Male,Rock,Traveling
60,Ability to carry a huge library of tunes aorund with me in something the size of a credit card.,"Interface with my PC, which doesn't always work and which requires you be very careful to ensure you don't accidentally remove music from the device.",Product A,>54,Male,R&B,Traveling
61,"high quality, durable, good sound",short battery life,Product D,35-44,Female,Jazz,Relaxing
62,Looks cool.,Can't rip songs from it.,Product A,25-34,Male,Other,Working
63,it keeps playing. i don't have to stop and change a CD.,nothing,Product A,18-24,Female,Other,Working
64,Portability and intuitive features of Product A,Loss of fidelity due to data compression,Product A,25-34,Female,Country,Relaxing
65,Music choice; lack of skipping (vs. CD players),Battery life is too short.,Product A,35-44,Female,Rock,Other
66,Convenience of storing all my music in one device,It's somewhat bulky,Product B,25-34,Male,Other,Traveling
67,Durably constructed,Bulky and heavy to carry,Product D,25-34,Female,Jazz,Traveling
68,Large storage capacity,Expensive compared to other manufacturers,Product A,18-24,Female,Other,Relaxing
69,Stores 5000 songs in a compact portable player.,Low battery life,Product A,35-44,Male,Blues,Relaxing
70,small,hard to rearrange play list on the device,Product A,>54,Male,Folk,Traveling
71,"Ease of use, simple functionality, elegant design and that it holds a lot of music and goes anywhere I do, headphones, car, home stero, portable speakers.",The screen,Product A,35-44,Male,Other,Traveling
72,Portable and durable,not enough space on it,Product B,>54,Male,Folk,Traveling
73,its design is way cool,would be great if it was not so expensive,Product A,45-54,Female,Rock,Traveling
74,great quality,too expensive,Product D,>54,Male,Classical,Working
75,"Small size. It has 512Mb of add-on memory, so it is quick to load and play music. It can also encode directly from external devices from the radio or a CD player.","It would be nice if the hard disk capacity were larger. 5Gb would be a sufficent capacity, although I prefer not to sacirifice device size.",Other,25-34,Male,Jazz,Traveling
76,storage capacity,could be smaller,Product E,<18,Female,Rap,Studying
77,The software is very cool.,Battery,Product A,25-34,Male,Rock,Traveling
78,sleek design,cost,Other,25-34,Female,Rock,Traveling
79,I like that I can build a bank of music that suits my tastes and cut out all of the songs that often come on Cds along with the one song you like,You can't use standard batteries in it,Product A,45-54,Female,Other,Other
80,Small,mine is old and so it hold only 16 songs LOL,Product D,35-44,Male,Rock,Other
81,It's nice,Its old,Product D,25-34,Female,Other,Traveling
82,"Small, handy device",Too costly still,Product A,35-44,Male,Jazz,Traveling
83,It's small & fits in your pocket.,It doesn't hold many songs,Other,25-34,Female,Other,Traveling
84,"It's just great. I have all my music downloaded onto it now, so no need to find the CD I want to play etc. Really great.",Too costly.,Product A,25-34,Male,Classical,Relaxing
85,"Good quality sound, easy to carry",battery goes dead quite fast,Product A,35-44,Female,R&B,Traveling
86,Handy,batteries,Product D,25-34,Female,Rock,Relaxing
87,Its great look and easy to use interface,Battery life is not as good as it should be,Product A,25-34,Female,Folk,Traveling
88,"Easy to use. Has a big screen. Software is easy to use, organizes folders in trees so you can open to investigate or close to save space. 20 GB hard drive.","It's old and it's so big! Even though it's 20 GB, it's not big enough.",Other,35-44,Female,Rap,Traveling
89,Small but lots of space (60 GB). Video is a bit of a toy but cool.,"Software is not great. Can only view all songs, not close sections up so you can view just albums or artists. Can only order items alphabetically.",Product A,35-44,Female,Rap,Traveling
90,the colour and size,nothing,Product A,25-34,Female,Other,Traveling
91,"As well as being able to listen to music, can watch movies, surf internet, etc.",Barely any internal storage. I have to purchase seperate storage.,Other,25-34,Female,Other,Traveling
92,"Because it is also an organiser, I always carry it with me.","Small capacity, poor user interface for music",Other,45-54,Male,Blues,Traveling
93,It's a portable music device,Battery life. They're are better players on the market.,Product A,25-34,Male,Other,Traveling
94,Long battery life. Also when you turn it on it picks up where you left off.,It is not loud enough,Product D,>54,Male,Classical,Traveling
95,It's beautiful.,Have to charge it.,Product A,45-54,Female,Classical,Relaxing
96,its tiny and can hold lots of songs and photos,It is too expensive.,Product A,<18,Female,Rock,Relaxing
97,It's very small.,It's unintuitive menu system.,Other,35-44,Male,Rock,Traveling
98,"Big storage capacity, also does video",too heavy,Product C,35-44,Female,Other,Studying
99,stores 2 days worth of music,short battery life,Product A,35-44,Male,Rock,Relaxing
100,Long battery life. Good sound quality.,Flimsy construction.,Product E,35-44,Male,Rock,Traveling
101,It's portable.,Nothing,Other,45-54,Female,Other,Traveling
102,The size and the fact that it has an included FM radio,The battery life time,Other,25-34,Male,Rock,Traveling
103,Its good looking and easy to use,"battery life is appalling, also ear phones aren't very good",Product A,18-24,Male,Jazz,Traveling
104,Easy to organise my music files. Good battery life.,The distinctive earphones are a magnet for muggers.,Product A,25-34,Male,Rock,Traveling
105,Small and easy to use,Could do with more storage,Other,35-44,Male,Other,Traveling
106,Its so small and cute,Too many cables and things hanging around my ears,Product A,45-54,Male,Jazz,Traveling
107,It is portable.,The weight.,Other,35-44,Male,Rock,Other
108,"It's well designed, light and very easy to use.",The battery life could be better,Product A,>54,Female,Blues,Relaxing
109,I can always bring it with me. The sound quality is very good.,Nothing,Other,>54,Female,Folk,Other
110,"It's lightweight, the battery life is very good, cool design.",It sometimes freezes.,Product A,<18,Male,Blues,Relaxing
111,"It is compact, tidy and easy to use",I am quite happy with its current features since it serves my purpose,Product D,25-34,Female,Rock,Relaxing
112,Not a lot.  I hardly use it.,Very limited memory. Slow data speed. Poor battery life.,Other,25-34,Male,Other,Traveling
113,It's portable,"Doesn't let you take stuff off once it's on there. So when it crashes, and it does, you've lost all your music",Product D,45-54,Male,Classical,Traveling
114,Large storage capacity and a good LCD screen for viewing digital photos,Battery life limitations,Product C,35-44,Male,Blues,Traveling
115,It was a freebie!,Limited memory,Other,35-44,Male,Folk,Relaxing
116,Ease of use. Looks good. Compatible with car stereo.,Was more expensive than other players.,Product A,25-34,Male,Other,Traveling
117,Listening to any songs I like any time I like.,The batteries.,Product A,35-44,Female,Blues,Traveling
118,"I can listen to where ever I am, I don't have to worry about which Cd to take etc have all my music on it so listen to what I like when I like. Also I like the fact that I can plug it into speakers.",Takes time to upload music from CD's,Product A,25-34,Female,R&B,Traveling
119,It looks good and is very easy to use,Headphones hurt my ear after a while,Product A,25-34,Female,Rock,Traveling
120,The sound quality and the ability to record and mix my own play lists.,Battery drainage,Product D,35-44,Female,Blues,Traveling
121,Storage capacity (40GB),Size,Product B,25-34,Male,Other,Working
122,Compact and waterproof,size,Product B,35-44,Male,R&B,Other
123,It's sound,It's not also a phone,Product A,25-34,Male,Jazz,Traveling
124,size and accessories,controls not always easy to manage,Product A,25-34,Female,Rock,Relaxing
125,it was free,can only hold about 16 songs,Product B,25-34,Female,Rock,Other
126,It's so easy to find the music I like.,earphones are a bit uncomfortable.,Product A,45-54,Female,Jazz,Traveling
127,It's tough.,style is a little clunky,Product D,35-44,Male,Rock,Other
128,It's small and holds all of my music.,Nothing,Product A,25-34,Female,Rock,Working
129,size,battery life,Product A,18-24,Female,Country,Traveling
130,Ease of use and portability.,Battery needs to be well-charged.,Product A,25-34,Female,Blues,Traveling
131,size,battery life,Other,25-34,Female,Other,Relaxing
132,size,battery life,Other,45-54,Male,Other,Other
133,I like the small size of the device. It allows me to keep it in a pocket while I use it so that I don't have to hold it like I would a larger device.,"My player only holds 256 mb of data, so I can't keep as much music on it as I would like.",Product E,35-44,Male,Rock,Traveling
134,The compact design,Having to recharge the battery,Other,35-44,Female,R&B,Other
135,How easy it was to use,The headphones,Product A,<18,Male,Blues,Relaxing
136,The amount of music files it holds,The price,Product E,18-24,Female,Classical,Traveling
137,The size,The menus are hard to get to,Product B,25-34,Female,Country,Studying
138,The sound quality,"The color, I wish it came in a variety of colors to choose from.",Product D,>54,Male,Folk,Working
139,I love it. I can listen to old heavy metal and new metal and alternative. Its batteries last for days.,Nothing!,Product A,18-24,Female,Other,Relaxing
140,"Controls are easy to understand and use. It's a well-designed, well-built unit.",Battery life is not quite as advertized.,Product A,45-54,Male,Other,Traveling
141,portability,low battery life,Other,25-34,Male,Rock,Other
142,"Easy to carry, and its size.",Nothing as such.,Product A,25-34,Female,Other,Traveling
143,its cost,low battery life,Product B,35-44,Male,Folk,Traveling
144,The size makes it convenient to carry around.,Don't have any complaints.,Product A,45-54,Female,Other,Relaxing
145,Listening while traveling to drown out the noise of crying kids!,Forgot how to upload new music!,Product D,35-44,Female,Rock,Traveling
146,"It has a lot of storage capacity. I can fit a lot of songs on it. Also, it's very lightweight.",It was expensive!,Product D,45-54,Male,Blues,Traveling
147,"I like the skip-free playback. Also, dragging and dropping songs. It's better than a ""real"" stereo.",Battery life is too low. 12 hours sounds like a lot but it is not.,Product A,18-24,Female,Rock,Other
148,"The online store is great. Also, sound quality is excellent.",Four hour charge time too long.,Product A,<18,Male,Rap,Relaxing
149,My son bought it for me for my birthday. I feel pretty hip. I like to listen to Mozart when I'm gardening. I love it's light weight. And the design is so sleek!,Display is hard to read. My senior eyes need a bigger dispay.,Product A,>54,Male,Classical,Relaxing
150,It was cheaper than the overrated Product A.,Don't know.,Product E,25-34,Male,Jazz,Traveling
151,"This has 256MB of memory; it holds about 50 songs. I've got another chip in my bag with another 50 songs on it. The cool thing about this is, it cost $200 plus $60 for a portable keyboard, and I can run other programs, take notes, as well as listen to music. If I wanted to, I could surf the Web and get e-mail. For a while I even had music videos on it!",It's a little heavy. Also seems a bit delicate.,Other,18-24,Male,Rock,Traveling
152,its small,not enough memory,Product D,25-34,Male,Jazz,Relaxing
153,"Product A is fantastic. Really sharp design. Headphones are great too, not like the old in-the-ear types that always fell out. Sound quality seems good as well.",Don't like the company.,Product A,25-34,Male,Country,Relaxing
154,I like that it's light. I use it while commuting and when running. I really like the random play option.,Price,Product A,25-34,Female,Rock,Traveling
155,small size and ease of use,sometimes crashes,Product A,25-34,Female,Rock,Traveling
156,you can take it everywhere,nothing,Product C,25-34,Female,R&B,Relaxing
157,huge selection of music at my fingertips when traveling. like bringing your whole stereo with you,Compromise on the sound quality vs. a real CD,Product A,35-44,Male,Jazz,Traveling
158,I like that it's small and I can take it anywhere with me. Also that it holds so many songs. I currently have almost 500.,"I think it's not intuitive the way it turns off. I just learned last week that you hold down the pause key to shut it off. I was just always letting it shut off on it's own which has probably wasted the battery. Also, I believe that once you wear out the battery (after recharging it for years and years) you need to replace the product.",Product A,35-44,Female,Rock,Other
159,"i can listen to whatever i want, whenever i want to.",not enough storage for all my music. i have tons of songs.,Product D,35-44,Female,R&B,Working
160,It's actually my son's but I use when I exercise. I like that it's so slim and lightweight. It's pretty too.,Nothing.  It's fine.,Product D,35-44,Male,Country,Other
161,Product A is the best. Drag & drop songs from their site is really easy and I love all the random play options. Like the long battery life.,Hard drive is too small,Product A,<18,Male,Jazz,Other
162,Convenience. Easy to use; I'm a technophobe!,Wish it had a radio,Product D,35-44,Male,Blues,Traveling
163,It's totally smooth. Much better than Product A. I love cranking it up and tuning everyone else out on the train.,Wish it came in more colors.,Product E,<18,Male,R&B,Relaxing
164,It was much more affordable than Product A.,It's not as attractive as Product A,Product E,25-34,Female,Other,Working
165,"convience, size",plain looking,Product A,25-34,Female,Rock,Relaxing
166,good sound quality,price,Other,25-34,Male,Rock,Working
167,amount of tunes it holds,too expensive,Other,35-44,Male,Blues,Traveling
168,"it like has all of my songs. i mean all of them, and it still has room for like a gazillion more","i hate that i have to load all these song onto it, you would think that they could just put your music on for you.",Product A,25-34,Female,Rock,Traveling
169,Well obviously the portability. I love the fact that I can have all my CD collection on the one small device that I can take with me where ever I go. I also like the fact that the battery lasts so long which makes it great for those long plane flights. Its also very easy to copy music from CD to the device.,I am not a fan of the company.,Product A,35-44,Female,Rock,Traveling
170,The color. It's purple which is my favourite color. I also like the accessories you can buy for it.,The battery doesn't seem to last as long as I think it should.,Product E,25-34,Female,Other,Working
171,It holds all 6 of my Classical music CD's.,Its a little bit too big.,Product B,>54,Male,Classical,Traveling
172,it is portable and compact. No CDs required any longer,low battery,Product A,35-44,Female,Classical,Relaxing
173,user friendliness,Proprietary plugs and software.,Product A,25-34,Male,Rock,Traveling
174,practical and fancy!,nothing!,Product A,25-34,Male,Jazz,Traveling
175,music in a single place,not very reliable. battery is too low,Product A,>54,Male,Jazz,Relaxing
176,Size. Weight. Simplicity. Connects directly to the laptop to download songs,"There is no menu, so you cannot see what is playing. You can't select a particular track, only move forwards or backwards through the listing. I have no control over the listing other than the order they are copied to the memory.",Other,35-44,Male,Other,Other
177,Ease of Use,battery life,Product D,35-44,Male,Folk,Relaxing
178,it has never let me down. has loud volume for my ageing ears.,it's quite heavy & bulky.,Product E,45-54,Male,Country,Other
179,"room for lots of songs, sleek design, software for managing the music on your PC is the best","battery life, incompatibility with some popular music formats",Product A,25-34,Male,Rock,Traveling
180,40 gig,difficultly loading songs,Other,35-44,Male,Folk,Traveling
181,It has really good sound; not the really bad sound I experienced with Product A. I know people think Product A is really cool but I have been so much happier with the design of Product D.,I wish it had more space.,Product D,45-54,Male,Folk,Other
182,Quality sound,It's shape,Product A,>54,Male,Classical,Traveling
183,I can listen anywhere and I can plug into my speaker system. It is small and i can play music during dinner with friends without having a huge sound system in my dining room.,I wish it was silver so it would be even less conspicuous,Product A,25-34,Female,Jazz,Working
184,Not having to drag my CDs around with me,Sound quality not too impressive,Product B,35-44,Female,Country,Traveling
185,"The size. It can take a beating and any jarring won't make the music skip at all. Also, it is small enough to wear around my neck. All of this translates to making exercising and jogging with it easier.",The music management software is weak and so is the amount of storage. I have the 512 MB model and it's still too small.,Product E,25-34,Male,Rock,Traveling
186,Great sound quality,nothing. its cool,Product A,35-44,Male,Rock,Traveling
187,"It's way cool, the teacher can't even see the headphone cable.",It eats batteries. I have to buy a new one every couple of days.,Product D,<18,Male,Rap,Studying
188,The photo feature. I can see my slideshows on it.,It synchonizes with my computer very slowly.,Product A,>54,Female,Folk,Traveling
189,"It gives me time to collect my thoughts and escape some of the stress from the day.  While riding the train, it allows me to sit back and relax and transition to home life.",It doesn't have a lot of memory and holds only a small selection of songs.,Other,35-44,Male,Rock,Traveling
190,easy to transport,too expensive,Product D,<18,Female,Other,Relaxing
191,I don't have to carry around CDs.,It doesn't look at cool as Product A.,Product B,<18,Female,Jazz,Relaxing
192,It has a catchy beat an is easy to dance to.,Color doesn't match any of my cool outfits,Product D,35-44,Female,Classical,Working
193,"Ease of use, design",I only have a 4 gig. Should have gotten a bigger one.,Product A,35-44,Female,Country,Traveling
194,Capacity,Weight,Product A,35-44,Male,Classical,Traveling
195,It was cheap,It's too big,Product D,45-54,Male,Other,Traveling
196,Small,high price,Product A,<18,Male,Other,Studying
197,the sound quality is killer and it holds all of my CDs.,It needs a better protective case than the one provided with it. I'm always dropping it.,Product A,<18,Male,Rock,Other
198,I like it because I can hear the music clearly.,I wish it had longer battery life.,Product B,45-54,Female,Folk,Traveling
199,The playlist feature so I can make my own playlists for our bashes.,Not enough room for all my music. I need a huge amount of space for all my tunes.,Product A,18-24,Male,Rap,Other
200,Its pretty green color.,The earbuds are uncomfortable.,Product A,25-34,Female,Jazz,Working
201,It rocks. I can download music from the internet.,I wish it had longer battery life.,Product A,18-24,Male,Other,Traveling
202,It's analog,It's a bit clunky,Other,35-44,Female,Jazz,Other
203,Sound quality,Size,Product E,45-54,Male,Blues,Traveling
204,I can load all my favorites and never run out of music. Since it has so much space I can load new tunes without having to remove some of my previous music. I have my whole library of music with me at all times.,I wish I could have videos of my favorites along with my music.,Product A,25-34,Male,Country,Other
205,It holds all of my music and it is small.,It is too expensive.,Product E,25-34,Female,Blues,Working
206,easy to transport all my music,not reliable. We have 4 and all of them had to be replaced,Product A,35-44,Male,Classical,Working
207,The design,Need to change batteries all the time.,Product A,>54,Female,Other,Other
208,"It is small, lightweight and easy to carry",nothing,Product D,25-34,Female,R&B,Traveling
209,I like how easily it fits into my purse or pocket,The user manual. The descriptions were not very good.,Product E,>54,Female,R&B,Working
210,I can put all of my music on it.,It is really pricey.,Product C,>54,Male,Classical,Relaxing
211,The sound,It's bulky,Other,25-34,Male,Country,Other
212,good mobillity,poor menu system,Product B,45-54,Male,Classical,Working
213,Its compact size,Its battery life.,Product B,45-54,Male,Rock,Studying
214,It is reliable.,I want it to be smaller.,Product A,35-44,Male,Jazz,Relaxing
215,"I was given it as a present, so I just like it.",I haven't really thought about it since I was given it as a present.,Product E,>54,Female,Jazz,Traveling
216,Good Design. Easy to use.,Nothing,Product D,25-34,Male,Rock,Working
217,All of my music fits on it.,All of the necessary accessories do not come with it and they are very expensive.,Product A,45-54,Female,Folk,Working
218,"capacity to hold a lot of music, ease of use, cool earbud","too expensive, sound quality could be better, color",Product A,>54,Male,Classical,Traveling
219,It fits comfortably in the palm of my hand,The directions that came with it.,Other,35-44,Female,Other,Other
220,I use it when I work around the house to listen to Frank and Dean when I can.,It is large to carry around and the hook they have for your belt doesn't work well.,Product D,>54,Female,Rock,Relaxing
221,Makes me feel young again!,I don't understand all of the buttons.,Product B,>54,Female,Blues,Traveling
222,It is small and light so I forget I'm carrying it.,It broke the bank.,Product A,18-24,Male,Rap,Traveling
223,storage capacity,expensive,Product A,25-34,Female,Other,Traveling
224,The compact design of the device and the software was very user friendly and easy to install,The battery does not last long,Product D,18-24,Male,Country,Traveling
225,that it is portable,storage limits,Other,25-34,Male,Rock,Working
226,its cool,nothing,Product A,<18,Male,Rap,Studying
227,It's small but holds lots of music,It was kind of expensive,Product A,35-44,Female,Rock,Traveling
228,large storage capacity,short battery time and long recharge time,Product A,25-34,Female,Rock,Traveling
229,"Well-made, good sound.",It falls off of the belt clip sometimes.,Other,25-34,Male,Country,Relaxing
230,I can wear it while I am exercising because it is so small.,The battery does not last very long anymore and I can't replace it.,Product A,45-54,Female,R&B,Other
231,"It can hold all of my child's music. Where ever we are, when my son gets cranky, I can pull it out and in no time he is chilled out.",Its accessories cost an arm and a leg.,Product A,35-44,Female,Other,Traveling
232,"inexpensive, has FM radio",doesn't list tracks,Product B,45-54,Male,Country,Traveling
233,It's small and light,The batteries don't last as long as I'd like,Product A,25-34,Female,Jazz,Traveling
234,Handy,Less space,Product E,35-44,Male,Classical,Traveling
235,Handy for listening to music on the way to work.,I like it but now I wish I had Product A.,Product D,45-54,Male,R&B,Traveling
236,I can take it anywhere I like,It needs more bass,Product D,18-24,Male,Country,Other
237,I can edit the playlist,Lousy sound! It doesn't play files I buy online. What a ripoff!,Product C,45-54,Female,Jazz,Traveling
238,Style and ease of use,Battery and tends to scratch easily,Product A,25-34,Female,R&B,Traveling
239,small size and large capacity,short time between recharges,Product A,35-44,Male,Rock,Relaxing
240,headphones are good lost of songs,battery is lousy,Product A,<18,Male,Rock,Studying
241,"small, long battery life, and good sound",buttons are very small and difficult to control,Product D,25-34,Female,Rock,Traveling
242,can store lots of songs,maybe a little too heavy,Product D,45-54,Female,Blues,Traveling
243,Its size.,The cost.,Product A,35-44,Male,Rock,Traveling
244,it is easy to use and I like the look of it.,it is quite expensive to buy,Product A,25-34,Male,Rock,Traveling
245,Multiple formats. Big hard disk. Good battery life and recharge speed. Good download speed.,Controls can be a bit fiddly and not quite as cool as Product A,Product B,18-24,Male,Other,Traveling
246,It holds lots of songs,"Its so small, I can never find it",Product A,<18,Female,Blues,Relaxing
247,it's blue,want a newer one,Product A,18-24,Male,Blues,Studying
248,I can understand how to use it.,"Nothing, it's fine.",Product E,>54,Male,Other,Relaxing
249,"small, multi purpose, easy to use","battery life poor, small amount of memory, can't download from internet directly",Other,18-24,Female,Rock,Other
250,small enough to use anywhere,poor quality headphones,Product A,>54,Male,Classical,Studying
251,incredibly small,it's already full,Product A,25-34,Female,Country,Relaxing
252,we can use it everywhere,quality of headphone,Other,35-44,Male,Rock,Traveling
253,great sound,difficult controls,Product B,45-54,Male,Rock,Traveling
254,Nothing special. It does everything well.,The color.,Product A,35-44,Male,Rock,Other
255,"It's multi-purpose. Also it's easy to change music. When plugged into the adapter, the memory card looks like another hard drive.",It uses up the internal batter pretty quickly. Not really a problem for me because I don't listen long at one sitting.,Other,45-54,Male,Folk,Traveling
256,looks nice,absence of radio,Product A,35-44,Female,Blues,Traveling
257,Its size means I don't have to listen to the teachers.,"It's a bit big, sometimes teachers spot me listening to it.",Product C,<18,Female,R&B,Studying
258,Small size; large capacity; easy to use,A bit cheap-looking,Product B,45-54,Male,Rock,Traveling
259,Its size means I can listen to it while working.,I can't hear when someone talks to me.,Product B,25-34,Male,Other,Working
260,I find it very convenient and simple to use.,It seems slightly unreliable; I think it is a bit buggy.,Product A,35-44,Male,Classical,Relaxing
261,Easy to use and my alternative rock songs sound awesome on it!,Battery life.,Product A,25-34,Female,Rock,Working
262,How many songs it holds,"Disconnecting it from the PC. It always has a ""do not disconnect"" message & I have to manually disconnect the setting.",Product A,35-44,Female,Country,Working
263,It's nice and small and fits into my handbag.,I have to have a handbag to carry it around.,Other,35-44,Male,Other,Traveling
264,"Been using a portable cassette player, but it finally broke. Product A seemed to be the brand to get. I like that they're really light weight. Also, it's easier to skip around from song to song than it is with a tape.",Learning how to download songs was odd and I'm still not crazy about the interface.,Product A,45-54,Male,Blues,Relaxing
265,It's small,"The attempt at copyright protection, which prohibits the use of downloaded music is annoying.",Product E,35-44,Male,Other,Traveling
266,Size,Battery life,Product D,25-34,Female,Rap,Other
267,"It changes the relationship you have with your music. I've been listening to music a long time and that never happened with cds, tapes, or vinyl.",Maybe it trivializes the music a bit too much.,Product A,25-34,Male,Rock,Traveling
