playerID,yearID,stint,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID
ainswku01,2001,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1978.0,9.0,9.0,USA,LA,Baton Rouge,,,,,,,Kurt,Ainsworth,Kurt Harold,192.0,75.0,R,R,2001-09-05,2004-05-14,ainsk001,ainswku01
alcanis01,2001,1,14,38,3,10,1,0,0,3.0,1.0,0.0,3,13.0,0.0,0.0,0.0,0.0,3.0,1973.0,5.0,6.0,D.R.,Peravia,Bani,,,,,,,Israel,Alcantara,Israel,180.0,74.0,R,R,2000-06-25,2002-08-22,alcai001,alcanis01
aldrico01,2001,1,8,5,1,0,0,0,0,0.0,0.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,1979.0,6.0,13.0,USA,TX,San Angelo,,,,,,,Cory,Aldridge,Cory Jerome,210.0,72.0,L,R,2001-09-05,2010-07-11,aldrc001,aldrico01
alfonan01,2001,1,58,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1972.0,4.0,16.0,D.R.,La Romana,La Romana,,,,,,,Antonio,Alfonseca,Antonio,250.0,77.0,R,R,1997-06-17,2007-09-23,alfoa001,alfonan01
alfoned01,2001,1,124,457,64,111,22,0,17,49.0,5.0,0.0,51,62.0,0.0,5.0,1.0,5.0,7.0,1973.0,11.0,8.0,Venezuela,Miranda,Santa Teresa del Tuy,,,,,,,Edgardo,Alfonzo,Edgardo Antonio,210.0,71.0,R,R,1995-04-26,2006-06-11,alfoe001,alfoned01
alicelu01,2001,1,113,387,44,106,16,4,4,32.0,8.0,6.0,23,56.0,0.0,4.0,3.0,1.0,6.0,1965.0,7.0,29.0,P.R.,,Santurce,,,,,,,Luis,Alicea,Luis Rene,165.0,69.0,B,R,1988-04-23,2002-09-25,alicl001,alicelu01
allench01,2001,1,57,175,20,46,13,2,4,20.0,1.0,2.0,19,37.0,1.0,0.0,0.0,1.0,7.0,1975.0,2.0,6.0,USA,TX,Dallas,,,,,,,Chad,Allen,John Chad,195.0,73.0,R,R,1999-04-06,2005-06-02,allec001,allench01
almanar01,2001,1,52,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1972.0,10.0,26.0,USA,TX,El Paso,,,,,,,Armando,Almanza,Armando,205.0,75.0,L,L,1999-07-29,2005-07-20,almaa001,almanar01
almanca01,2001,1,10,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1973.0,11.0,6.0,D.R.,Santiago,Santiago,,,,,,,Carlos,Almanzar,Carlos Manuel,166.0,74.0,R,R,1997-09-04,2005-04-30,almac001,almanca01
almoner01,2001,1,8,4,0,2,1,0,0,0.0,2.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1978.0,2.0,1.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Erick,Almonte,Erick R.,245.0,74.0,R,R,2001-09-04,2011-04-25,almoe001,almoner01
alomaro01,2001,1,157,575,113,193,34,12,20,100.0,30.0,6.0,80,71.0,5.0,4.0,9.0,9.0,9.0,1968.0,2.0,5.0,P.R.,,Ponce,,,,,,,Roberto,Alomar,Roberto,184.0,72.0,B,R,1988-04-22,2004-09-05,alomr001,alomaro01
alomasa02,2001,1,70,220,17,54,8,1,4,21.0,1.0,2.0,12,17.0,1.0,2.0,3.0,2.0,6.0,1966.0,6.0,18.0,P.R.,,Salinas,,,,,,,Sandy,Alomar,Santos,200.0,77.0,R,R,1988-09-30,2007-09-30,aloms001,alomasa02
aloumo01,2001,1,136,513,79,170,31,1,27,108.0,5.0,1.0,57,57.0,14.0,3.0,0.0,8.0,18.0,1966.0,7.0,3.0,USA,GA,Atlanta,,,,,,,Moises,Alou,Moises Rojas,185.0,75.0,R,R,1990-07-26,2008-06-10,aloum001,aloumo01
anderbr01,2001,1,131,430,50,87,12,3,8,45.0,12.0,4.0,60,77.0,4.0,8.0,2.0,1.0,3.0,1964.0,1.0,18.0,USA,MD,Silver Spring,,,,,,,Brady,Anderson,Brady Kevin,170.0,73.0,L,L,1988-04-04,2002-05-20,andeb001,anderbr01
anderbr02,2001,1,33,37,1,5,1,1,0,2.0,0.0,0.0,0,9.0,0.0,0.0,0.0,0.0,2.0,1972.0,4.0,26.0,USA,VA,Portsmouth,,,,,,,Brian,Anderson,Brian James,190.0,73.0,B,L,1993-09-10,2005-05-08,andeb002,anderbr02
anderga01,2001,1,161,672,83,194,39,2,28,123.0,13.0,6.0,27,100.0,4.0,0.0,0.0,5.0,12.0,1972.0,6.0,30.0,USA,CA,Los Angeles,,,,,,,Garret,Anderson,Garret Joseph,190.0,75.0,L,L,1994-07-27,2010-08-06,andeg001,anderga01
anderji02,2001,1,34,59,2,7,1,0,0,3.0,0.0,0.0,4,15.0,0.0,0.0,6.0,0.0,1.0,1976.0,1.0,22.0,USA,VA,Portsmouth,,,,,,,Jimmy,Anderson,James Drew,195.0,73.0,L,L,1999-07-04,2004-07-21,andej002,anderji02
anderma01,2001,1,62,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1976.0,8.0,17.0,USA,KY,Louisville,,,,,,,Matt,Anderson,Matthew Jason,200.0,76.0,R,R,1998-06-25,2005-07-01,andem002,anderma01
anderma02,2001,1,147,522,69,153,30,2,11,61.0,8.0,5.0,35,74.0,5.0,2.0,10.0,5.0,12.0,1974.0,1.0,6.0,USA,AL,Montgomery,,,,,,,Marlon,Anderson,Marlon Ordell,190.0,70.0,L,R,1998-09-08,2009-04-10,andem003,anderma02
ankieri01,2001,1,6,8,1,0,0,0,0,0.0,0.0,0.0,1,5.0,0.0,0.0,1.0,0.0,0.0,1979.0,7.0,19.0,USA,FL,Fort Pierce,,,,,,,Rick,Ankiel,Richard Alexander,210.0,73.0,L,L,1999-08-23,2013-06-08,ankir001,ankieri01
appieke01,2001,1,33,62,4,7,0,0,0,4.0,0.0,0.0,1,24.0,0.0,1.0,3.0,0.0,0.0,1967.0,12.0,6.0,USA,CA,Lancaster,,,,,,,Kevin,Appier,Robert Kevin,180.0,74.0,R,R,1989-06-04,2004-04-23,appik001,appieke01
ariasal01,2001,1,70,137,19,31,9,0,2,12.0,1.0,0.0,17,22.0,1.0,1.0,1.0,2.0,3.0,1967.0,11.0,20.0,USA,NY,New York,,,,,,,Alex,Arias,Alejandro,185.0,75.0,R,R,1992-05-12,2002-09-22,ariaa001,ariasal01
armasto02,2001,1,34,53,2,8,1,0,0,4.0,0.0,0.0,0,17.0,0.0,0.0,6.0,0.0,0.0,1978.0,4.0,29.0,Venezuela,Anzoategui,Puerto Piritu,,,,,,,Tony,Armas,Antonio Jose,205.0,76.0,R,R,1999-08-16,2008-07-07,armat002,armasto02
arrojro01,2001,1,41,4,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,1965.0,7.0,18.0,Cuba,Villa Clara,Santa Clara,,,,,,,Rolando,Arrojo,Luis Rolando,215.0,76.0,R,R,1998-04-01,2002-09-22,arror001,arrojro01
arroybr01,2001,1,24,21,0,1,0,0,0,1.0,0.0,0.0,1,16.0,0.0,0.0,0.0,1.0,0.0,1977.0,2.0,24.0,USA,FL,Key West,,,,,,,Bronson,Arroyo,Bronson Anthony,185.0,75.0,R,R,2000-06-12,2017-06-18,arrob001,arroybr01
ashbyan01,2001,1,3,2,1,1,0,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,2.0,0.0,0.0,1967.0,7.0,11.0,USA,MO,Kansas City,,,,,,,Andy,Ashby,Andrew Jason,180.0,73.0,R,R,1991-06-10,2004-09-14,ashba002,ashbyan01
astacpe01,4002,3,26,53,2,5,0,0,0,3.0,0.0,0.0,0,17.0,0.0,0.0,11.0,0.0,0.0,1968.0,11.0,28.0,D.R.,Hato Mayor,Hato Mayor del Rey,,,,,,,Pedro,Astacio,Pedro Julio,174.0,74.0,R,R,1992-07-03,2006-09-27,astap001,astacpe01
atchlju01,2001,1,15,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1973.0,9.0,5.0,USA,WA,Sedro-Woolley,,,,,,,Justin,Atchley,Justin Scott,215.0,75.0,L,L,2001-04-07,2001-07-12,atchj001,atchlju01
aurilri01,2001,1,156,636,114,206,37,5,37,97.0,1.0,3.0,47,83.0,2.0,0.0,3.0,3.0,14.0,1971.0,9.0,2.0,USA,NY,Brooklyn,,,,,,,Rich,Aurilia,Richard Santo,170.0,72.0,R,R,1995-09-06,2009-10-04,aurir001,aurilri01
ausmubr01,2001,1,128,422,45,98,23,4,5,34.0,4.0,1.0,30,64.0,6.0,1.0,6.0,2.0,13.0,1969.0,4.0,14.0,USA,CT,New Haven,,,,,,,Brad,Ausmus,Bradley David,190.0,71.0,R,R,1993-07-28,2010-10-03,ausmb001,ausmubr01
austije01,2001,1,21,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1976.0,10.0,19.0,USA,CA,San Bernardino,,,,,,,Jeff,Austin,Jeffrey Wellington,185.0,72.0,R,R,2001-06-26,2003-05-28,austj002,austije01
avenbr01,2001,1,21,24,3,8,2,0,1,2.0,0.0,0.0,0,5.0,0.0,2.0,0.0,0.0,0.0,1972.0,3.0,4.0,USA,TX,Orange,,,,,,,Bruce,Aven,David Bruce,180.0,69.0,R,R,1997-08-27,2002-05-27,avenb001,avenbr01
aybarma01,2001,1,17,3,1,3,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1972.0,5.0,4.0,D.R.,Peravia,Bani,,,,,,,Manny,Aybar,Manuel Antonio,165.0,73.0,R,R,1997-08-04,2005-06-10,aybam001,aybarma01
bacsimi02,2001,1,3,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1977.0,11.0,11.0,USA,TX,Dallas,,,,,,,Mike,Bacsik,Michael Joseph,225.0,74.0,L,L,2001-08-05,2007-09-30,bacsm001,bacsimi02
baezbe01,2001,1,8,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1977.0,5.0,6.0,D.R.,Monsenor Nouel,Bonao,,,,,,,Benito,Baez,Benito,160.0,72.0,L,L,2001-08-25,2001-10-05,baezb001,baezbe01
baezda01,2001,1,43,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1977.0,9.0,10.0,Cuba,Pinar del Rio,Pinar del Rio,,,,,,,Danys,Baez,Danys G.,225.0,75.0,R,R,2001-05-13,2011-07-16,baezd001,baezda01
bagweje01,2001,1,161,600,126,173,43,4,39,130.0,11.0,3.0,106,135.0,5.0,6.0,0.0,5.0,20.0,1968.0,5.0,27.0,USA,MA,Boston,,,,,,,Jeff,Bagwell,Jeffrey Robert,195.0,72.0,R,R,1991-04-08,2005-10-02,bagwj001,bagweje01
baileco01,2001,1,53,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1971.0,1.0,24.0,USA,IL,Herrin,,,,,,,Cory,Bailey,Philip Cory,195.0,72.0,R,R,1993-09-01,2002-07-03,bailc001,baileco01
baineha01,2001,1,32,84,3,11,1,0,0,6.0,0.0,0.0,8,16.0,0.0,0.0,0.0,2.0,2.0,1959.0,3.0,15.0,USA,MD,Easton,,,,,,,Harold,Baines,Harold Douglas,175.0,74.0,L,L,1980-04-10,2001-09-27,bainh001,baineha01
bakopa01,2001,1,61,137,19,29,10,1,2,15.0,1.0,0.0,20,34.0,2.0,0.0,0.0,0.0,3.0,1972.0,6.0,20.0,USA,LA,Lafayette,,,,,,,Paul,Bako,Gabor Paul,205.0,74.0,L,R,1998-04-30,2009-10-04,bakop001,bakopa01
baldwja01,4002,3,29,28,0,2,1,0,0,1.0,0.0,0.0,0,13.0,0.0,0.0,1.0,0.0,1.0,1971.0,7.0,15.0,USA,NC,Pinehurst,,,,,,,James,Baldwin,James,210.0,75.0,R,R,1995-04-30,2005-09-29,baldj002,baldwja01
balejo01,2001,1,14,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1974.0,5.0,22.0,USA,MD,Cheverly,,,,,,,John,Bale,John Robert,210.0,76.0,L,L,1999-09-30,2009-10-02,balej001,balejo01
balfogr01,2001,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1977.0,12.0,30.0,Australia,New South Wales,Sydney,,,,,,,Grant,Balfour,Grant Robert,200.0,74.0,R,R,2001-07-22,2015-04-18,balfg001,balfogr01
bankswi01,2001,1,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1969.0,2.0,27.0,USA,NJ,Jersey City,,,,,,,Willie,Banks,Willie Anthony,190.0,73.0,R,R,1991-07-31,2002-09-26,bankw001,bankswi01
barajro01,2001,1,51,106,9,17,3,0,3,9.0,0.0,0.0,4,26.0,0.0,0.0,0.0,0.0,0.0,1975.0,9.0,5.0,USA,CA,Ontario,,,,,,,Rod,Barajas,Rodrigo Richard,250.0,74.0,R,R,1999-09-25,2012-10-03,barar001,barajro01
barcelo01,2001,1,17,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1977.0,8.0,10.0,D.R.,San Pedro de Macoris,San Pedro de Macoris,,,,,,,Lorenzo,Barcelo,Lorenzo Antonio,230.0,76.0,R,R,2000-07-22,2002-04-19,barcl001,barcelo01
barkean01,2001,1,17,46,5,14,2,0,1,3.0,1.0,0.0,4,7.0,1.0,1.0,0.0,0.0,2.0,1974.0,9.0,5.0,USA,FL,Miami,,,,,,,Andy,Barkett,Andrew Jon,205.0,73.0,L,L,2001-05-28,2001-06-24,barka001,barkean01
barkegl01,2001,1,70,24,12,2,0,0,0,1.0,4.0,6.0,3,6.0,0.0,2.0,0.0,1.0,0.0,1971.0,5.0,10.0,USA,NY,Albany,,,,,,,Glen,Barker,Glen F.,180.0,70.0,B,R,1999-04-07,2001-10-07,barkg001,barkegl01
barnejo01,2001,1,9,21,1,1,0,0,0,0.0,0.0,0.0,1,3.0,0.0,1.0,0.0,0.0,0.0,1976.0,4.0,24.0,USA,CA,San Diego,,,,,,,John,Barnes,John Delbert,205.0,74.0,R,R,2000-09-16,2001-08-26,barnj001,barnejo01
barnela01,2001,1,16,40,2,4,0,0,1,2.0,0.0,0.0,1,9.0,0.0,0.0,0.0,0.0,1.0,1974.0,7.0,23.0,USA,CA,Bakersfield,,,,,,,Larry,Barnes,Larry Richard,195.0,73.0,L,L,2001-04-11,2003-07-31,barnl001,barnela01
barremi01,2001,1,132,472,42,118,33,2,6,38.0,2.0,1.0,25,54.0,2.0,2.0,4.0,3.0,14.0,1976.0,10.0,22.0,USA,GA,Atlanta,,,,,,,Michael,Barrett,Michael Patrick,185.0,75.0,R,R,1998-09-19,2009-04-17,barrm003,barremi01
barteki01,2001,1,12,15,0,0,0,0,0,1.0,0.0,0.0,2,5.0,1.0,1.0,0.0,1.0,0.0,1972.0,7.0,21.0,USA,NE,Omaha,,,,,,,Kimera,Bartee,Kimera Anotchi,175.0,72.0,B,R,1996-04-03,2001-08-03,bartk001,barteki01
batismi01,2001,1,48,32,2,2,0,0,0,0.0,0.0,0.0,2,17.0,0.0,0.0,2.0,0.0,0.0,1971.0,2.0,19.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Miguel,Batista,Miguel Jerez,210.0,73.0,R,R,1992-04-11,2012-09-11,batim001,batismi01
batisto01,4002,3,156,579,70,138,27,6,25,87.0,5.0,2.0,32,113.0,1.0,4.0,0.0,7.0,9.0,1973.0,12.0,9.0,D.R.,Puerto Plata,Puerto Plata,,,,,,,Tony,Batista,Leocadio Francisco,180.0,72.0,R,R,1996-06-03,2007-09-30,batit001,batisto01
bauerri01,2001,1,6,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1977.0,1.0,10.0,USA,CA,Garden Grove,,,,,,,Rick,Bauer,Richard Edward,215.0,78.0,R,R,2001-09-02,2008-06-29,bauer001,bauerri01
bautida01,2001,1,100,222,26,67,11,2,5,26.0,3.0,2.0,14,31.0,1.0,1.0,2.0,0.0,7.0,1972.0,5.0,24.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Danny,Bautista,Daniel,170.0,71.0,R,R,1993-09-15,2004-09-28,bautd001,bautida01
beckejo02,2001,1,4,7,1,2,1,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,2.0,0.0,0.0,1980.0,5.0,15.0,USA,TX,Spring,,,,,,,Josh,Beckett,Joshua Patrick,230.0,77.0,R,R,2001-09-04,2014-08-03,beckj002,beckejo02
beckro01,2001,1,68,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1968.0,8.0,3.0,USA,CA,Burbank,2007.0,6.0,23.0,USA,AZ,Phoenix,Rod,Beck,Rodney Roy,215.0,73.0,R,R,1991-05-06,2004-08-14,beckr001,beckro01
beimejo01,2001,1,42,26,3,7,0,0,0,0.0,0.0,0.0,1,10.0,0.0,0.0,4.0,0.0,0.0,1977.0,4.0,19.0,USA,PA,St. Marys,,,,,,,Joe,Beimel,Joseph Ronald,205.0,75.0,L,L,2001-04-08,2015-10-03,beimj001,beimejo01
beirnke01,2001,1,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1974.0,1.0,1.0,USA,TX,Houston,,,,,,,Kevin,Beirne,Kevin Patrick,210.0,76.0,L,R,2000-05-17,2002-09-28,beirk001,beirnke01
belitto01,2001,1,8,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1975.0,10.0,23.0,USA,IA,Des Moines,,,,,,,Todd,Belitz,Todd Stephen,218.0,73.0,L,L,2000-09-04,2001-10-06,belit001,belitto01
bellda01,2001,1,135,470,62,122,28,0,15,64.0,2.0,1.0,28,59.0,1.0,3.0,5.0,4.0,8.0,1972.0,9.0,14.0,USA,OH,Cincinnati,,,,,,,David,Bell,David Michael,170.0,70.0,R,R,1995-05-03,2006-10-01,belld002,bellda01
bellde01,2001,1,46,156,14,27,3,0,5,13.0,0.0,2.0,25,38.0,5.0,0.0,2.0,0.0,4.0,1968.0,12.0,11.0,USA,FL,Tampa,,,,,,,Derek,Bell,Derek Nathaniel,200.0,74.0,R,R,1991-06-28,2001-07-03,belld001,bellde01
bellhma01,2001,1,38,74,11,10,1,2,1,4.0,0.0,0.0,7,37.0,0.0,0.0,1.0,0.0,1.0,1974.0,8.0,23.0,USA,MA,South Weymouth,,,,,,,Mark,Bellhorn,Mark Christian,195.0,73.0,B,R,1997-06-10,2007-09-30,bellm002,bellhma01
bellicl01,2001,1,51,81,12,13,1,1,5,12.0,1.0,2.0,4,23.0,0.0,1.0,1.0,1.0,2.0,1968.0,11.0,18.0,USA,NY,Oneonta,,,,,,,Clay,Bellinger,Clayton Daniel,195.0,75.0,R,R,1999-04-09,2002-04-08,bellc001,bellicl01
belliro01,2001,1,101,364,69,96,30,3,11,36.0,5.0,2.0,35,65.0,2.0,5.0,4.0,2.0,5.0,1975.0,4.0,7.0,USA,NY,New York,,,,,,,Ronnie,Belliard,Ronald,210.0,69.0,R,R,1998-09-12,2010-09-06,bellr002,belliro01
bellja01,2001,1,129,428,59,106,24,1,13,46.0,0.0,1.0,65,79.0,3.0,4.0,8.0,4.0,9.0,1965.0,12.0,11.0,USA,FL,Pensacola,,,,,,,Jay,Bell,Jay Stuart,180.0,73.0,R,R,1986-09-29,2003-09-28,bellj001,bellja01
bellro01,4002,3,27,7,0,1,0,0,0,0.0,0.0,0.0,1,4.0,0.0,0.0,2.0,0.0,0.0,1977.0,1.0,17.0,USA,NY,Newburgh,,,,,,,Rob,Bell,Robert Allen,225.0,77.0,R,R,2000-04-08,2007-09-30,bellr003,bellro01
beltrad01,2001,1,126,475,59,126,22,4,13,60.0,13.0,4.0,28,82.0,1.0,5.0,2.0,5.0,9.0,1979.0,4.0,7.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Adrian,Beltre,Adrian,220.0,71.0,R,R,1998-06-24,2018-09-30,belta001,beltrad01
beltrca01,2001,1,155,617,106,189,32,12,24,101.0,31.0,1.0,52,120.0,2.0,5.0,1.0,5.0,7.0,1977.0,4.0,24.0,P.R.,,Manati,,,,,,,Carlos,Beltran,Carlos Ivan,215.0,73.0,B,R,1998-09-14,2017-10-01,beltc001,beltrca01
benarma01,2001,1,129,392,70,104,19,2,15,44.0,10.0,5.0,29,66.0,2.0,4.0,1.0,3.0,3.0,1971.0,1.0,20.0,Nicaragua,Atlantico Sur,Bluefields,,,,,,,Marvin,Benard,Marvin Larry,180.0,70.0,L,L,1995-09-05,2003-09-27,benam001,benarma01
benesal01,2001,1,9,2,1,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1972.0,1.0,21.0,USA,IN,Evansville,,,,,,,Alan,Benes,Alan Paul,215.0,77.0,R,R,1995-09-19,2003-05-28,benea002,benesal01
benesan01,2001,1,27,32,1,5,3,0,0,4.0,0.0,0.0,1,15.0,0.0,0.0,2.0,0.0,0.0,1967.0,8.0,20.0,USA,IN,Evansville,,,,,,,Andy,Benes,Andrew Charles,235.0,78.0,R,R,1989-08-11,2002-09-29,benea001,benesan01
benitar01,2001,1,73,1,0,0,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1972.0,11.0,3.0,D.R.,San Pedro de Macoris,Ramon Santana,,,,,,,Armando,Benitez,Armando German,180.0,76.0,R,R,1994-07-28,2008-06-06,benia001,benitar01
bennega01,6003,6,46,131,15,32,6,1,2,10.0,0.0,0.0,12,24.0,4.0,1.0,2.0,2.0,1.0,1972.0,4.0,17.0,USA,IL,Waukegan,,,,,,,Gary,Bennett,Gary David,190.0,72.0,R,R,1995-09-24,2008-05-18,benng001,bennega01
benoijo01,2001,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1977.0,7.0,26.0,D.R.,Santiago,Santiago,,,,,,,Joaquin,Benoit,Joaquin Antonio,250.0,76.0,R,R,2001-08-08,2017-09-07,benoj001,benoijo01
bereja01,2001,1,32,62,2,12,4,0,0,2.0,0.0,0.0,0,18.0,0.0,0.0,7.0,0.0,2.0,1971.0,5.0,26.0,USA,MA,Cambridge,,,,,,,Jason,Bere,Jason Phillip,185.0,75.0,R,R,1993-05-27,2003-05-27,berej002,bereja01
bergda01,2001,1,82,215,26,52,12,1,4,16.0,0.0,1.0,14,39.0,0.0,2.0,2.0,2.0,3.0,1970.0,9.0,3.0,USA,CA,Roseville,,,,,,,Dave,Berg,David Scott,185.0,71.0,R,R,1998-04-02,2004-09-29,bergd002,bergda01
bergebr01,2001,1,6,16,4,5,1,1,2,2.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,1975.0,2.0,21.0,USA,KY,Covington,,,,,,,Brandon,Berger,Brandon Charles,205.0,71.0,R,R,2001-09-09,2004-06-13,bergb001,bergebr01
bergepe01,2001,1,102,375,53,79,11,4,3,16.0,10.0,7.0,28,87.0,2.0,5.0,8.0,0.0,5.0,1977.0,11.0,9.0,USA,MA,Greenfield,,,,,,,Peter,Bergeron,Peter Francis,185.0,74.0,L,R,1999-09-07,2004-04-18,bergp001,bergepe01
berkmla01,2001,1,156,577,110,191,55,5,34,126.0,7.0,9.0,92,121.0,5.0,13.0,0.0,6.0,8.0,1976.0,2.0,10.0,USA,TX,Waco,,,,,,,Lance,Berkman,William Lance,220.0,73.0,B,L,1999-07-16,2013-09-17,berkl001,berkmla01
